Order ID,Product,Quantity Ordered,Price Each
176558,USB-C Charging Cable,2,11.95
176559,Bose SoundSport Headphones,1,99.99
176560,Google Phone,1,600
176560,Wired Headphones,1,11.99
176561,Wired Headphones,1,11.99
176562,USB-C Charging Cable,1,11.95
176563,Bose SoundSport Headphones,1,99.99
176564,USB-C Charging Cable,1,11.95
176565,Macbook Pro Laptop,1,1700
176566,Wired Headphones,1,11.99
176567,Google Phone,1,600
176568,Lightning Charging Cable,1,14.95
176569,27in 4K Gaming Monitor,1,389.99
176570,AA Batteries (4-pack),1,3.84
176571,Lightning Charging Cable,1,14.95
176572,Apple Airpods Headphones,1,150
176573,USB-C Charging Cable,1,11.95
176574,Google Phone,1,600
176574,USB-C Charging Cable,1,11.95
176575,AAA Batteries (4-pack),1,2.99
176576,Apple Airpods Headphones,1,150
176577,Apple Airpods Headphones,1,150
176578,Apple Airpods Headphones,1,150
176579,AA Batteries (4-pack),1,3.84
176580,USB-C Charging Cable,1,11.95
176581,iPhone,1,700
176582,Bose SoundSport Headphones,1,99.99
176583,AAA Batteries (4-pack),2,2.99
176584,Flatscreen TV,1,300
176585,Bose SoundSport Headphones,1,99.99
176585,Bose SoundSport Headphones,1,99.99
176586,AAA Batteries (4-pack),2,2.99
176586,Google Phone,1,600
176587,27in FHD Monitor,1,149.99
176588,20in Monitor,1,109.99
176589,Lightning Charging Cable,1,14.95
176590,Google Phone,1,600
176591,Apple Airpods Headphones,1,150
176592,USB-C Charging Cable,1,11.95
176593,Lightning Charging Cable,2,14.95
176594,Wired Headphones,1,11.99
176595,Wired Headphones,3,11.99
176596,Apple Airpods Headphones,1,150
176597,USB-C Charging Cable,1,11.95
176598,AAA Batteries (4-pack),2,2.99
176599,Lightning Charging Cable,1,14.95
176600,27in 4K Gaming Monitor,1,389.99
176601,USB-C Charging Cable,1,11.95
176602,Lightning Charging Cable,1,14.95
176603,USB-C Charging Cable,1,11.95
176604,USB-C Charging Cable,1,11.95
176605,USB-C Charging Cable,1,11.95
176606,LG Dryer,1,600
176607,AAA Batteries (4-pack),2,2.99
176608,iPhone,1,700
176609,Apple Airpods Headphones,1,150
176610,AAA Batteries (4-pack),1,2.99
176611,Bose SoundSport Headphones,1,99.99
176612,Apple Airpods Headphones,1,150
176613,USB-C Charging Cable,2,11.95
176614,AA Batteries (4-pack),1,3.84
176615,Lightning Charging Cable,1,14.95
176616,USB-C Charging Cable,1,11.95
176617,Apple Airpods Headphones,1,150
176618,Lightning Charging Cable,2,14.95
176619,Flatscreen TV,1,300
176620,USB-C Charging Cable,1,11.95
176621,Lightning Charging Cable,1,14.95
176622,AA Batteries (4-pack),1,3.84
176623,27in FHD Monitor,1,149.99
176624,AA Batteries (4-pack),1,3.84
176625,AAA Batteries (4-pack),2,2.99
176626,Bose SoundSport Headphones,1,99.99
176627,Wired Headphones,1,11.99
176628,Lightning Charging Cable,2,14.95
176629,USB-C Charging Cable,1,11.95
176630,Google Phone,1,600
176631,USB-C Charging Cable,1,11.95
176632,AAA Batteries (4-pack),1,2.99
176633,ThinkPad Laptop,1,999.99
176634,Lightning Charging Cable,1,14.95
176635,Vareebadd Phone,1,400
176636,AA Batteries (4-pack),1,3.84
176637,AAA Batteries (4-pack),1,2.99
176638,USB-C Charging Cable,1,11.95
